"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_fish","region"
"2","Safou","D10","M","Mindjoukou","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"3","Bokombo4","D100","F","Dongou","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"4","Bokombo4","D101","F","Bétou","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"6","Bokombo2","D103","F","Bongoye","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"7","Bokombo3","D104","M","Bongoye","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"8","Bokombo4","D105","M","Manfoueté","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"9","Bokombo3","D106","F","Ikouangala","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"10","Bokombo1","D107","M","Losso","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"12","Bokombo1","D109","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"13","Safou","D11","F","Bondzale","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"14","Bokombo1","D110","M","Ikouangala","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"16","Bokombo1","D112","F","Ikouangala","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"18","Bokombo1","D114","M","Ikouangala","Personne âgée",NA,-Inf,-Inf,2,0,"Dongou"
"19","Bokombo1","D115","F","Ngandola","Adulte",7404.69054192718,7404.69054192718,7404.69054192718,1,1,"Dongou"
"20","Bokombo1","D116","M","Ikouangala","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"21","Bokombo1","D117","F","Losso","Personne âgée",80767.8335424014,80767.8335424014,80767.8335424014,1,1,"Dongou"
"25","Bokombo6","D120","F","Ikouangala","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"27","Bokombo6","D122","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"33","Bokombo6","D128","M","Dongou","Adolescent",12758.0635163911,12758.0635163911,12758.0635163911,2,1,"Dongou"
"34","Bokombo6","D129","F","Dongou","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"36","Bokombo6","D130","M","Dongou","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"37","Bokombo6","D131","F","Ikouangala","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"38","Bokombo6","D132","M","Manfoueté","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"41","Bokombo6","D135","F","Manfoueté","Personne âgée",NA,-Inf,-Inf,0,0,"Dongou"
"44","Bokombo6","D138","M","Sambala","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"50","Bokombo6","D143","F","Mafoueté","Personne âgée",NA,-Inf,-Inf,4,0,"Dongou"
"51","Bokombo6","D144","F","Ikouangala","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"52","Bokombo6","D145","F","Dongou","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"54","Bokombo6","D147","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"55","Bokombo6","D148","F","Manfoueté","Adulte",NA,-Inf,-Inf,5,0,"Dongou"
"56","Bokombo6","D149","M","Mimbelli","Adulte",NA,-Inf,-Inf,6,0,"Dongou"
"59","Bokombo6","D151","M","Ikouangala","Adolescent",77622.720628387,77622.720628387,77622.720628387,1,1,"Dongou"
"60","Bokombo6","D152","F","Ikouangala","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"61","Bokombo6","D153","M","Manfoueté","Adulte",NA,-Inf,-Inf,5,0,"Dongou"
"63","Bokombo5","D155","M","Sambala","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"64","Bokombo3","D156","F","Ikouangala","Adolescent",NA,-Inf,-Inf,4,0,"Dongou"
"65","Bokombo3","D157","F","Ikouangala","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"69","Bokombo5","D160","F","Bangui","Adulte",10448.0449667098,10448.0449667098,10448.0449667098,3,1,"Dongou"
"71","Bokombo5","D162","F","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"76","Bokombo4","D167","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"77","Bokombo4","D168","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"78","Bokombo4","D169","M","Manfoueté","Adulte",3766.20797961279,6144.26805744313,1388.14790178244,4,2,"Dongou"
"79","Cacao","D17","F","Moangouma","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"84","Bokombo3","D174","M","Sambala","Adulte",10286.447116239,10286.447116239,10286.447116239,6,1,"Dongou"
"86","Bokombo3","D176","M","Ikouangala","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
"87","Bokombo4","D177","F","Ikouangala","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"88","Bokombo2","D178","M","Manfoueté","Adolescent",NA,-Inf,-Inf,0,0,"Dongou"
"89","Bokombo1","D179","F","Manfoueté","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"91","Bokombo2","D180","F","Manfoueté","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"93","Bokombo2","D182","F","Ikouangala","Adolescent",10673.7074409004,10673.7074409004,10673.7074409004,5,1,"Dongou"
"99","Bokombo1","D188","F","Dongou","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"100","Bokombo1","D189","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,1,0,"Dongou"
"103","Bokombo1","D191","M","Ikouangala","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"105","Bokombo1","D193","M","Ikouangala","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"108","Bokombo1","D196","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"114","Mabanga2","D200","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"118","Mabanga2","D204","F","Manfoueté","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"119","Bélé","D205","F","Dongou","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"121","Bélé","D207","M","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"123","Bélé","D209","M","Boleiké","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"125","Bélé","D210","F","Manfoueté","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"127","Bélé","D212","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"128","Bélé","D213","M","Dongou","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"129","Bélé","D214","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,5,0,"Dongou"
"130","Bélé","D215","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,3,0,"Dongou"
"134","Bélé","D219","F",NA,"Adulte",NA,-Inf,-Inf,1,0,"Dongou"
"135","Tangassi","D22","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"136","Mokelegnegné","D220","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"137","Mokelegnegné","D221","M","Djoumbelé","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"140","Massendjo","D224","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"142","Ndzoumbele","D226","M","Bangui","Adulte",NA,-Inf,-Inf,5,0,"Dongou"
"144","Ndzoumbele","D228","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"146","Tangassi","D23","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"149","Ndzoumbele","D232","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,3,0,"Dongou"
"156","Mabanga1","D239","M","Manfoueté","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"157","Cacao","D24","M","Botanga","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"158","Mabanga1","D240","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"159","Mabanga1","D241","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,8,0,"Dongou"
"163","Mabanga1","D245","F","Bongoye","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"166","Kokosso","D248","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,3,0,"Dongou"
"168","Cacao","D25","M","Maoangouma","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"169","Kokosso","D250","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"171","Kokosso","D252","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"172","Kokosso","D253","F","Mafouete","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"173","Kokosso","D254","M",NA,"Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"176","Kokosso","D257","M",NA,"Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"177","Kokosso","D258","F","Manfoueté","Adolescent",NA,-Inf,-Inf,3,0,"Dongou"
"178","Boleiké3","D259","M","Motaba","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"180","Kokosso","D260","F","Manfoueté","Adolescent",NA,-Inf,-Inf,2,0,"Dongou"
"183","Boleiké3","D263","F","Moumbelou","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"185","Boleiké3","D265","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"186","Boleiké3","D266","F","Enyelle","Adulte",NA,-Inf,-Inf,4,0,"Dongou"
"192","Mabanga2","D271","F","Boucy-boucy","Adulte",NA,-Inf,-Inf,0,0,"Dongou"
"193","Mabanga2","D272","M","Boucy-boucy","Adulte",NA,-Inf,-Inf,2,0,"Dongou"
"197","Mabanga2","D276","F","Boucy-boucy","Personne âgée",NA,-Inf,-Inf,3,0,"Dongou"
"202","Bélé","D280","M","Boucy-boucy","Adolescent",NA,-Inf,-Inf,1,0,"Dongou"
