"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V67.1","median","max"
"1","Makossa1",0,0,1,"MI1","F","Minganga",0,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12367.846125473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282.85019882368,0,NA,7325.34816214832,12367.846125473
"2","Makossa1",0,1,0,"MI10","M","Minganga",2,"Adulte",17965.1632647885,17855.9098169815,15902.4603793189,15530.926488803,14926.0712820518,14767.9270951954,17635.4950172576,14723.2585856623,12097.643059931,11280.8157334613,10201.1381675439,5885.9973622766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12367.846125473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34795.0694156737,25820.384022718,2282.85019882368,0,NA,14846.9991886236,34795.0694156737
"3","Bylikombo2",0,0,1,"MI100","M","Mossombo",NA,"Enfant",0,0,0,0,0,0,0,3708.34757203055,0,0,1217.94156755871,5419.28879393557,11280.8157334613,11336.9783121699,11748.2197056644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13563.5585566147,0,NA,11280.8157334613,13563.5585566147
"4","VMA",0,0,1,"MI101","F","Mossombo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-Inf
"5","VMA",0,0,1,"MI102","M","Mossombo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-Inf
"6","VMA",0,0,1,"MI103","F","Mossombo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,-Inf
"7","VMA",0,0,1,"MI104","M","Mossombo",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173.7113423696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,3173.7113423696,3173.7113423696
"8","VMA",1,1,0,"MI105","F","Mbili",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21580.6975445257,21239.8847915227,11823.4947689813,16992.4332653818,0,NA,19116.1590284522,21580.6975445257
"9","VMA",0,1,0,"MI106","F","Mossombo",NA,"Adulte",7478.8284048274,7537.93364653566,7584.78657077929,7467.5444966458,7307.86802039352,7283.85752063297,7095.06219146973,0,2814.01352185165,3708.34757203055,4926.1498649356,8977.81551371977,14723.2585856623,14779.5745511928,15161.8323621648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3173.7113423696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21239.8847915227,11823.4947689813,16992.4332653818,0,NA,7508.38102568153,21239.8847915227
"10","Bokéya1",1,0,0,"MI107","M","Attention",NA,"Adolescent",2441.20556453465,2269.93850144969,0,0,0,1136.56639853505,2301.16162045399,7584.78657077929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99725.1687021239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19047.8605437617,19394.168014374,11467.3402983625,17818.8668747982,62174.2314666617,64182.4794238239,14643.1035865803,99725.1687021239
