"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","median","max"
"1","Bylikombo1",0,"Adulte","MI205","M",1,6,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24300.1225044234,24010.0708034357,14615.287209499,14378.8147186411,0,0,0,0,0,0,0,0,19312.6790064674,24300.1225044234
"2","Bylikombo1",0,"Adulte","MI206","F",1,6,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037.58379207382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24010.0708034357,14615.287209499,14378.8147186411,0,0,0,0,0,0,0,0,14497.0509640701,24010.0708034357
"3","Bylikombo1",0,"Adulte","MI209","F",1,5,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037.58379207382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14615.287209499,14378.8147186411,0,0,0,0,0,0,0,0,14378.8147186411,14615.287209499
"4","Bylikombo1",0,"Adulte","MI211","F",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14615.287209499,0,0,0,0,0,0,0,0,0,14615.287209499,14615.287209499
"5","Bylikombo1",0,"Adolescent","MI212","M",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037.58379207382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24010.0708034357,14615.287209499,14378.8147186411,0,0,0,0,0,0,0,0,14497.0509640701,24010.0708034357
"6","Bylikombo2",1,"Personne âgée","MI210","F",1,4,2,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241.30171438424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25167.9742996709,24892.005416506,15503.8883848124,13563.5585566147,0,0,0,0,0,0,0,0,15503.8883848124,25167.9742996709
"7","Bouma",0,"Adulte","MI154","M",1,4,1,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27984.5061024109,0,0,0,0,0,0,0,0,0,21306.4783913082,27984.5061024109
"8","Bouma",0,"Adulte","MI155","F",1,4,1,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36883.222265333,27984.5061024109,0,0,0,0,0,0,0,0,0,27984.5061024109,36883.222265333
"9","Bouma",0,"Enfant","MI156","F",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"10","Bouma",0,"Enfant","MI157","M",0,NA,NA,"Minganga","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"11","Bouma",0,"Enfant","MI158","M",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"12","Bouma",0,"Enfant","MI159","F",0,NA,NA,"Pokola","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"13","Bouma",0,"Adulte","MI160","M",1,5,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36883.222265333,0,0,0,0,0,0,0,0,0,0,36883.222265333,36883.222265333
"14","Bouma",0,"Adulte","MI161","F",1,5,0,"Impfondo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36883.222265333,0,0,0,0,0,0,0,0,0,0,25755.8364727692,36883.222265333
"15","Bouma",1,"Personne âgée","MI162","F",1,5,5,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,137317.169288959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36883.222265333,0,0,78005.4782414879,80699.6193159609,0,0,0,0,0,0,79352.5487787244,137317.169288959
"16","Bouma",0,"Enfant","MI163","F",0,NA,NA,"Minganga","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"17","Bouma",0,"Enfant","MI164","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"18","Bouma",0,"Enfant","MI165","F",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"19","Bouma",0,"Enfant","MI166","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"20","Bouma",0,"Adolescent","MI178","F",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27984.5061024109,0,0,0,0,0,0,0,0,0,27984.5061024109,27984.5061024109
"21","Bouma",0,"Adolescent","MI179","F",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"22","Bouma",0,"Adulte","MI180","F",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,14628.4506802055
"23","Bouma",0,"Adulte","MI181","M",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,14628.4506802055
"24","Bylikombo1",0,"Enfant","MI204","M",0,NA,NA,"Mbaya","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"25","Bylikombo1",0,"Adulte","MI207","M",1,5,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037.58379207382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378.8147186411,0,0,0,0,0,0,0,0,7708.19925535747,14378.8147186411
"26","Bylikombo1",1,"Personne âgée","MI208","F",1,1,5,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14378.8147186411,0,0,0,0,0,0,0,0,14378.8147186411,14378.8147186411
"27","Bylikombo1",0,"Enfant","MI213","M",0,NA,NA,"Mossombo","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"28","Bylikombo1",0,"Enfant","MI214","F",0,NA,NA,"Mbili","Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
