"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_dance","region"
"4","Kakélo6","M151","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"5","Boua2","M75","F","Bangui","FALSE",NA,-Inf,-Inf,5,0,"Macao"
"7","Kakélo4","M167","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"8","Boua1","M90","F","Bangui","Adulte",NA,-Inf,-Inf,10,0,"Macao"
"9","Kakélo6","M111","F","Bangui","Adulte",NA,-Inf,-Inf,8,0,"Macao"
"10","Kakélo4","M119","F","Bangui","Adolescent",NA,-Inf,-Inf,8,0,"Macao"
"13","Kakélo2","M132","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"15","Kakélo5","M142","M","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"17","Boua1","M63","F","Bangui","Personne âgée",NA,-Inf,-Inf,4,0,"Macao"
"18","Bateké1","M11","M","Djoubou","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"19","Kakélo4","M162","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"22","Boua2","M130","M","Bangui","Adulte",63692.4072118002,86475.3939933409,40909.4204302595,11,2,"Macao"
"23","Boua2","M126","M","Bangui","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"27","Boua1","M68","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"31","Mopendé","M36","F","Papé","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"32","Kakélo1","M94","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"33","Bakouengué","M32","F","Bayanga","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"35","Kakélo2","M84","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"37","Bateké2","M15","F","Maca","Adolescent",NA,-Inf,-Inf,5,0,"Macao"
"38","Moyimbi","M2","M","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Macao"
