"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","median","max","min","places_visited","total_bantu_work"
"1","Bylikombo1",0,"Adulte","MI205","M",1,6,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101077.368882392,0,0,0,0,0,0,75872.5526767324,0,0,0,0,0,0,0,0,0,0,0,0,0,88474.9607795622,101077.368882392,75872.5526767324,8,2
"2","Bylikombo1",0,"Adulte","MI206","F",1,6,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"3","Bylikombo1",0,"Adulte","MI209","F",1,5,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,6,0
"4","Bylikombo1",0,"Adulte","MI211","F",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037.58379207382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037.58379207382,1037.58379207382,1037.58379207382,6,1
"5","Bylikombo1",0,"Adolescent","MI212","M",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101077.368882392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101077.368882392,101077.368882392,101077.368882392,8,1
"6","Bylikombo2",1,"Personne âgée","MI210","F",1,4,2,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"7","Bouma",0,"Adulte","MI154","M",1,4,1,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"8","Bouma",0,"Adulte","MI155","F",1,4,1,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27984.5061024109,0,0,0,0,0,0,0,0,0,0,27984.5061024109,27984.5061024109,27984.5061024109,6,1
"13","Bouma",0,"Adulte","MI160","M",1,5,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155690.072611605,0,86128.8515986994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27984.5061024109,0,0,0,0,0,0,0,0,0,0,86128.8515986994,155690.072611605,27984.5061024109,11,3
"14","Bouma",0,"Adulte","MI161","F",1,5,0,"Impfondo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27984.5061024109,0,0,0,0,0,0,0,0,0,0,27984.5061024109,27984.5061024109,27984.5061024109,7,1
